app,n,cohort_revenue,revenue_std,arpu
air.com.beachbumgammon,2,0.18336326953636303,0.09168163476818152,0.09168163476818152
and.brainworks.holeemall,1,0.27619595379989503,0.0,0.27619595379989503
and.lihuhu.blossommaster,3,0.03805560984315824,0.010820495090417671,0.012685203281052748
and.lihuhu.mahjongtriple3d,1,0.0,0.0,0.0
and.lihuhu.matchpair3d,1,0.5583828222892318,0.0,0.5583828222892318
and.lihuhu.tilesinhole,2,2.18671603140281,0.9674281050267456,1.093358015701405
and.matchgames.zenblossom,1,0.004455125371428572,0.0,0.004455125371428572
animal.connect.relax.match.puzzle,1,0.21868862298478814,0.0,0.21868862298478814
antivirus.security.clean.master.battery.ora,1,0.0213087311925,0.0,0.0213087311925
archery.clash.tournament,2,0.6367075769457022,0.014110286311840511,0.3183537884728511
art.of.find.hidden.object.puzzle.journey,3,1.7160656503590443,0.6889761896674611,0.5720218834530147
at.ner.SolitaireFreeCell,1,0.10076704647796184,0.0,0.10076704647796184
at.ner.SolitaireKlondike,1,0.04310415741646797,0.0,0.04310415741646797
atlantis.invaders.subnautica.space.shooter,1,0.03850972924761905,0.0,0.03850972924761905
barcelona.wonder.drop,1,0.490042498716917,0.0,0.490042498716917
beetles.puzzle.solitaire,209,2.8414331066231098,0.03605459391184168,0.013595373715900047
bible.wordgame.words.connect.crossword.cookies,4,0.40389851338713234,0.10349583028837411,0.10097462834678309
bitcoin.minning.com,1,0.09068256741099999,0.0,0.09068256741099999
blackjack.casino.card.game,12,1.0386857818945612,0.1472913041533386,0.08655714849121343
block.escape.tap.away.puzzle,2,0.30398453287485455,0.10321418896678339,0.15199226643742728
block.puzzle.jigsaw.jewel.wood.blocks.sudoku.shape.tetris.game,2,0.0038460766233333332,0.0019230383116666666,0.0019230383116666666
block.puzzle.sudoku.free.game.classic.offline,6,0.0,0.0,0.0
buraco.canasta.card.game.burraco.trick.rummy.online.multiplayer.offline.free,1,0.0,0.0,0.0
canasta.card.game.trick.rummy.poker.joker.online.multiplayer.offline.game,15,1.5544440160370057,0.23385877596507004,0.10362960106913371
candy.craze.match3.free.android,7,0.00278,0.0009727973549910336,0.00039714285714285714
car.jam.traffic.seat.unblock,3,0.848791319926638,0.36618625663090265,0.282930439975546
car.parking.jam.solver.puzzle.games,3,0.3563067187280712,0.058207243407426376,0.11876890624269039
card.games.free.cell.freecell.solitaire,1,0.004409758665119443,0.0,0.004409758665119443
casino.wild.jackpot.slots.android,1,0.5083389681584255,0.0,0.5083389681584255
castle.vanishingcross.kingscorner.solitaire.cardgames.free.offline.klondike.patience,4,0.46309088637658125,0.06022546945480756,0.11577272159414531
classic.card.solitaire.pgmaker,1,0.003589120898308548,0.0,0.003589120898308548
classic.klondike.solitaire.cardgame.patience.lite,1,0.14434145008374266,0.0,0.14434145008374266
closet.match.pair.matching.games,3,0.5963827361505832,0.27380361439869433,0.19879424538352775
color.bolts.sorting.nuts.sort,1,0.007441635,0.0,0.007441635
color.match.line.connect.brain.puzzle,1,0.3099403107284682,0.0,0.3099403107284682
color.sketch.art.puzzle,1,0.04575666544532312,0.0,0.04575666544532312
com.AliceTile.Story.Secret.and,1,0.1081592509975321,0.0,0.1081592509975321
com.BallGames.Woodturning,1,0.07887845496399999,0.0,0.07887845496399999
com.CyberCats.LoveLoop,156,1.2627155663597622,0.02471390140472375,0.008094330553588219
com.Garawell.BridgeRace,7,1.0227231413489797,0.2685733085195869,0.1461033059069971
com.GnarlyGameStudio.FrontlineHeroes,8,5.154514886100999,1.589428881035871,0.6443143607626248
com.GybeGames.ColorBlockJam,3,0.43663355038097895,0.14813872492376542,0.14554451679365965
com.GybeGames.FillTheFridgeTest,1,0.04125939128700923,0.0,0.04125939128700923
com.Helium9Games.TennisArena2021,1,0.008007852523809523,0.0,0.008007852523809523
com.Jbm360.ModernTowerDefense,1,0.3087294333080751,0.0,0.3087294333080751
com.JindoBlu.OfflineGames,1,0.4318461698361757,0.0,0.4318461698361757
com.LaykaGames.MazeMaker,5,0.018219383187723467,0.004993417977142826,0.0036438766375446936
com.Lightneer.BazookaBoy,1,0.5069679151459461,0.0,0.5069679151459461
